MMSI,BaseDateTi,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Cargo,Transceive
477131400,2021-11-05 02:36:41,40.71889,-74.0243,11.7,192.1,189,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:37:51,40.71514000000001,-74.02535,11.8,192.4,189,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:39:01,40.71145,-74.02639,11.8,191.9,190,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:40:11,40.70764000000001,-74.02744,12.0,191.7,189,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:41:20,40.7039,-74.02845,12.0,191.4,190,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:42:21,40.70053,-74.02935,12.0,191.9,190,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:43:31,40.69673,-74.03036999999998,12.0,192.7,195,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:44:41,40.69297,-74.03178,12.0,198.5,200,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:45:51,40.68934,-74.03367,12.0,205.1,205,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:47:01,40.6858,-74.03594,12.2,206.4,204,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:48:02,40.68274,-74.03793,12.4,205.9,205,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:49:12,40.67915,-74.04025,12.4,206.1,204,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:50:21,40.67557,-74.04255,12.5,206.0,205,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:51:32,40.67191,-74.04493000000002,12.4,206.1,205,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:52:41,40.66835,-74.04726,12.3,206.0,205,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:53:51,40.66482,-74.04953,11.4,206.1,204,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:55:02,40.66161,-74.05143000000002,10.5,201.8,200,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:56:10,40.65859,-74.0529,9.9,200.4,198,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
477131400,2021-11-05 02:57:21,40.65551,-74.05416,9.4,195.1,194,COOPER ISLAND,IMO9668910,VRRD6,70,0,12.8,70,A
