MMSI,BaseDateTi,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,Transceive
220263000,2021-11-12 17:44:58,40.57532,-74.03145,13.2,347.0,347,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:46:09,40.57958,-74.0325,13.1,345.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:47:19,40.58367,-74.03373,13.1,344.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:48:28,40.5878,-74.035,12.8,344.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:49:38,40.5916,-74.03627,11.5,342.0,341,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:50:49,40.595,-74.03758,10.2,341.0,341,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:51:59,40.59802,-74.03877,9.3,341.0,341,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:53:09,40.60073,-74.03988000000003,8.6,340.0,341,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:54:19,40.60333,-74.04098,8.2,339.0,339,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:55:29,40.60577,-74.04212,8.0,338.0,338,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:56:38,40.6082,-74.04328000000002,7.8,347.0,337,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:57:49,40.61053,-74.04437,7.2,2.0,336,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 17:58:59,40.61262,-74.04538000000002,6.9,9.2,335,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:00:10,40.61477,-74.04655,7.3,341.0,340,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:01:18,40.6171,-74.0476,8.0,342.0,343,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:02:29,40.61972,-74.04857,8.6,346.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:03:39,40.62255,-74.04952,9.1,346.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:04:49,40.6255,-74.05043,9.5,347.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:05:58,40.62843,-74.05131999999998,9.3,344.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:07:09,40.63133,-74.0522,9.1,345.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:08:19,40.6342,-74.05306999999998,8.8,344.0,344,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:09:29,40.63692,-74.05386999999997,8.6,345.0,343,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:10:38,40.63958,-74.05467,8.2,341.0,332,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:11:49,40.64203,-74.05595,7.7,332.0,321,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:12:58,40.64412,-74.05753,7.3,323.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:14:09,40.64585,-74.05953000000002,6.7,309.0,294,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:15:19,40.64703,-74.06173000000003,6.1,297.0,287,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:16:28,40.6479,-74.06403,5.8,292.0,287,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:17:39,40.64872,-74.06643000000003,6.2,292.0,288,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:18:49,40.64957,-74.06902,6.7,292.0,286,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:19:59,40.65037,-74.07182,7.0,283.0,278,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:21:08,40.65082,-74.07477,7.3,278.0,277,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:22:19,40.6512,-74.07797,7.4,275.0,272,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:23:28,40.65142,-74.08102,7.1,268.0,262,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:24:49,40.6512,-74.08442,6.7,256.0,247,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:25:58,40.65053,-74.08698000000003,6.2,242.0,238,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:27:08,40.64955,-74.08925,6.0,237.0,239,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:28:18,40.64852,-74.09142,6.0,238.0,249,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:29:19,40.64778,-74.09347,6.2,248.0,261,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:30:29,40.64738,-74.09607,6.0,264.0,271,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:31:38,40.64737,-74.09865,6.2,270.0,273,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:32:39,40.64745,-74.10108000000002,6.7,271.0,272,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:33:49,40.64758,-74.10396999999998,6.9,271.0,268,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:34:58,40.6476,-74.10688,6.7,265.0,259,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:35:59,40.6474,-74.10933,6.6,259.0,253,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:37:09,40.64692,-74.11211999999998,6.6,251.0,246,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:38:18,40.64612,-74.11478000000002,6.9,246.0,246,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:39:28,40.64518,-74.1176,7.3,247.0,249,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:40:38,40.64435,-74.12052,7.2,250.0,254,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:41:48,40.6437,-74.12347,7.1,255.0,263,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:42:49,40.64342,-74.12602,6.9,263.0,268,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:44:00,40.64337,-74.12898,6.7,269.0,270,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:45:09,40.64343,-74.13176999999997,6.4,268.0,265,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:46:19,40.64337,-74.13441999999998,6.0,263.0,260,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:47:29,40.64312,-74.13693,5.9,258.0,257,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:48:39,40.64275,-74.13946999999997,5.9,253.0,252,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:49:48,40.64218,-74.14182,5.8,251.0,259,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:50:58,40.6417,-74.14416999999997,5.6,257.0,276,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:52:02,40.64162,-74.14633,5.5,274.0,298,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:53:04,40.64207,-74.14828,5.4,294.0,319,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:54:06,40.64307,-74.14992,5.7,319.0,342,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:55:08,40.64463,-74.15083,5.9,347.0,1,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:56:18,40.6466,-74.15092,6.1,3.1,16,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:57:28,40.64858,-74.15023000000002,6.4,17.3,25,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:58:29,40.65027,-74.14922,6.7,23.8,26,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 18:59:38,40.65215,-74.14782,6.6,25.3,25,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:00:09,40.65298,-74.14723000000002,6.5,24.8,26,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:01:19,40.6548,-74.14591999999998,6.4,24.6,25,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:02:28,40.65663,-74.14466999999998,6.3,23.9,24,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:03:38,40.65847,-74.14348000000003,6.2,22.2,23,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:04:49,40.66028,-74.14233,6.1,20.8,20,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:05:58,40.66208,-74.14138,5.8,19.3,20,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:07:09,40.66382,-74.1405,5.4,18.6,22,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:08:19,40.66542000000001,-74.13958000000002,5.3,20.1,21,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:09:28,40.66695,-74.1387,5.1,19.0,18,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:10:39,40.6685,-74.13792,4.9,15.5,13,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:11:48,40.66993,-74.13725,4.6,14.4,4,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:12:58,40.6714,-74.13682,4.6,4.0,351,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:14:09,40.67288,-74.13668,4.3,353.0,334,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:15:18,40.67417,-74.13701999999998,3.9,337.0,316,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:16:19,40.67507,-74.13768,3.5,316.0,306,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:17:28,40.67587,-74.13877,3.6,306.0,303,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:18:38,40.67658,-74.14001999999998,3.6,303.0,303,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:19:48,40.6773,-74.14125,3.6,305.0,303,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:20:58,40.67802,-74.14248,3.6,302.0,302,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:22:09,40.67868,-74.14376999999998,3.5,303.0,303,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:23:18,40.67935,-74.14497,3.4,304.0,304,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:24:19,40.67993,-74.14595,3.3,304.0,304,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:25:29,40.68057,-74.14699999999999,3.0,306.0,304,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:26:38,40.68117,-74.14798,2.9,306.0,304,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:27:49,40.6817,-74.1489,2.3,306.0,306,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:28:59,40.6821,-74.14958,1.8,307.0,310,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:30:09,40.68255,-74.15002,1.6,324.0,309,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:31:18,40.68293,-74.15033000000003,1.1,325.0,310,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:32:29,40.68317,-74.1505,0.6,320.0,310,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:33:39,40.68335,-74.15061999999998,0.5,332.0,310,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:34:48,40.68348,-74.1507,0.4,323.0,309,ALBERT MAERSK,IMO9260469,OUOW2,70,0,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:36:08,40.68363,-74.15073000000002,0.2,12.5,309,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:37:18,40.6837,-74.15073000000002,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:38:29,40.68372,-74.15071999999998,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:39:38,40.68372,-74.1507,0.0,307.0,307,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:40:49,40.68368,-74.15066999999998,0.1,128.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:41:58,40.68368,-74.15057,0.1,82.4,307,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:43:08,40.68367,-74.1505,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:45:05,40.68365,-74.15048,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:48:04,40.68363,-74.15045,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:51:04,40.68363,-74.15045,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:54:04,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 19:57:05,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:00:05,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:06:04,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:09:04,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:12:05,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:15:05,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:18:05,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:21:04,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:24:04,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:27:04,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
220263000,2021-11-12 20:30:04,40.68365,-74.15047,0.0,308.0,308,ALBERT MAERSK,IMO9260469,OUOW2,70,5,352.0,42.0,15.0,74,A
