MMSI,BaseDateTi,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,Transceive
355305000,2021-11-02 07:26:48,40.57149,-74.03195,9.7,349.2,349,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:27:58,40.57459,-74.03278,9.8,348.5,348,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:29:07,40.57762,-74.03354,9.8,348.9,348,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:30:08,40.58033,-74.03423000000002,9.7,348.9,348,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:31:17,40.5834,-74.03503,9.6,346.7,345,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:32:27,40.58636,-74.03603000000003,9.4,345.1,345,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:33:38,40.58933,-74.0371,9.3,344.7,344,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:34:48,40.59224,-74.03820999999998,9.2,343.2,344,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:35:57,40.59501,-74.0393,9.1,343.6,344,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:37:07,40.59789,-74.04037,9.1,344.5,345,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:38:17,40.60078,-74.0412,9.0,346.4,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:39:27,40.60334,-74.04208,9.0,343.5,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:40:37,40.60637,-74.04329,8.9,341.6,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:41:47,40.60908,-74.04451,8.5,341.1,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:42:58,40.61166,-74.04554,8.0,341.6,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:44:08,40.61397,-74.04652,7.4,342.1,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:45:18,40.61621,-74.04744000000002,7.0,342.8,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:46:27,40.61827,-74.04824,6.6,343.2,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:47:37,40.62024,-74.04899,6.2,344.5,343,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:48:48,40.62221,-74.04966999999998,6.2,344.8,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:49:58,40.62417,-74.05036,6.3,345.0,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:51:08,40.62615,-74.05105,6.4,345.3,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:52:18,40.62819,-74.05176,6.4,345.1,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:53:28,40.63022,-74.05242,6.5,344.8,343,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:54:29,40.63199,-74.05303,6.5,344.7,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:55:37,40.63399,-74.05375,6.5,344.5,343,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:56:48,40.63607,-74.05451,6.5,343.7,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:57:58,40.63808,-74.05528000000002,6.5,345.2,343,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 07:59:07,40.64017,-74.05606,6.9,342.9,342,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:00:07,40.64219,-74.05683,7.7,344.0,340,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:01:17,40.64459,-74.05781,8.0,338.5,322,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:02:27,40.64669,-74.05979,7.9,315.1,305,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:03:37,40.64835,-74.06249,8.1,302.8,289,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:04:48,40.64927,-74.06575,8.3,284.9,280,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:05:57,40.64986,-74.06933000000002,8.9,281.2,280,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:06:58,40.65034,-74.07261,9.2,282.2,280,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:08:08,40.65097,-74.0764,9.0,283.2,275,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:09:18,40.65127,-74.08019,8.7,270.9,262,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:10:28,40.65094000000001,-74.08372,8.4,257.3,249,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:11:38,40.65,-74.08703,8.1,246.4,245,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:12:47,40.64892,-74.09000999999998,7.9,242.1,244,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:13:48,40.6478,-74.09259,7.6,243.4,257,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:14:51,40.6472,-74.09531,7.2,260.4,271,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:15:57,40.64721,-74.09805,7.0,274.5,275,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:17:07,40.64737,-74.10101999999998,6.9,273.9,274,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:18:18,40.64758,-74.10396999999998,6.9,276.5,270,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:19:27,40.6477,-74.1068,6.9,266.5,255,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:20:37,40.64715,-74.10977,7.0,252.3,250,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:21:47,40.64642,-74.11265,7.3,250.3,249,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:22:48,40.6457,-74.11527,7.5,250.1,249,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:23:57,40.64478,-74.11823000000003,7.5,246.7,250,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:25:07,40.64392,-74.12119,7.3,253.2,260,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:26:18,40.64349,-74.12427,7.2,265.7,269,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:27:27,40.6434,-74.1273,7.1,269.1,270,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:28:38,40.64346,-74.13036,7.0,274.4,268,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:29:47,40.64355,-74.13319,6.7,264.8,258,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:30:58,40.64319,-74.13568000000002,6.5,259.8,257,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:32:07,40.64274,-74.13861999999997,6.5,257.2,256,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:33:18,40.64218,-74.14124,6.9,256.7,265,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:34:24,40.64195,-74.14421999999998,7.1,268.7,281,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:35:25,40.64213,-74.14684,7.1,282.2,296,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:36:27,40.6429,-74.14934000000002,6.9,299.2,302,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:37:28,40.6439,-74.15148,6.9,300.8,300,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:38:38,40.64516,-74.15395,6.9,305.8,294,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
355305000,2021-11-02 08:39:48,40.6463,-74.15628000000002,6.4,296.5,277,MSC SANDRA,IMO9203954,H3LV,70,0,273.0,32.0,13.0,71,A
