MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
357874000,0,0,7.7,103.84629,1.20677,256.0,264,2021-11-04 08:06:36,9168879
357874000,0,0,7.5,103.84284,1.20636,267.0,273,2021-11-04 08:08:15,9168879
357874000,0,0,9.5,103.83181,1.20733,277.0,280,2021-11-04 08:12:56,9168879
357874000,0,0,9.1,103.82932,1.20772,279.0,280,2021-11-04 08:13:55,9168879
357874000,0,0,9.0,103.82846,1.20786,279.0,280,2021-11-04 08:14:16,9168879
357874000,0,0,8.0,103.82007,1.20916,279.0,285,2021-11-04 08:17:55,9168879
357874000,0,0,7.8,103.818,1.20964,283.0,285,2021-11-04 08:18:55,9168879
357874000,0,0,7.7,103.81487,1.21041,283.0,285,2021-11-04 08:20:26,9168879
357874000,0,0,7.5,103.81175,1.21111,282.0,288,2021-11-04 08:21:56,9168879
357874000,0,0,6.9,103.80886,1.21193,289.0,295,2021-11-04 08:23:26,9168879
357874000,0,0,6.5,103.8072,1.2126,290.0,297,2021-11-04 08:24:26,9168879
357874000,0,0,6.3,103.80405,1.21416,298.0,304,2021-11-04 08:26:25,9168879
357874000,0,0,6.3,103.8038,1.21431,301.0,305,2021-11-04 08:26:36,9168879
357874000,0,0,6.3,103.80357,1.21447,303.0,305,2021-11-04 08:26:46,9168879
357874000,0,0,6.3,103.80334,1.21464,305.0,305,2021-11-04 08:26:56,9168879
357874000,0,0,6.3,103.8031,1.21482,305.0,306,2021-11-04 08:27:06,9168879
357874000,0,0,6.2,103.8022,1.21551,307.0,309,2021-11-04 08:27:46,9168879
357874000,0,0,6.2,103.80199,1.2157,309.0,310,2021-11-04 08:27:56,9168879
357874000,0,0,6.1,103.80175,1.21591,311.0,310,2021-11-04 08:28:06,9168879
357874000,0,0,5.9,103.80057,1.21707,317.0,314,2021-11-04 08:29:06,9168879
357874000,0,0,5.8,103.79988,1.21789,320.0,315,2021-11-04 08:29:46,9168879
357874000,0,0,5.8,103.79972,1.2181,320.0,315,2021-11-04 08:29:56,9168879
357874000,0,0,5.7,103.79939,1.21852,320.0,315,2021-11-04 08:30:16,9168879
357874000,0,0,5.7,103.79923,1.21873,321.0,315,2021-11-04 08:30:25,9168879
357874000,0,0,5.7,103.79908,1.21892,320.0,315,2021-11-04 08:30:35,9168879
357874000,0,0,5.7,103.79891,1.21915,321.0,315,2021-11-04 08:30:46,9168879
357874000,0,0,5.5,103.79848,1.21974,322.0,315,2021-11-04 08:31:16,9168879
357874000,0,0,5.2,103.79784,1.22054,323.0,315,2021-11-04 08:31:56,9168879
357874000,0,0,5.1,103.79758,1.22092,323.0,315,2021-11-04 08:32:16,9168879
357874000,0,0,5.0,103.79743,1.22113,323.0,315,2021-11-04 08:32:26,9168879
357874000,0,0,4.8,103.79706,1.22167,324.0,315,2021-11-04 08:32:56,9168879
357874000,0,0,4.4,103.7961,1.22299,323.0,314,2021-11-04 08:34:14,9168879
357874000,0,0,4.3,103.79597,1.22317,323.0,314,2021-11-04 08:34:26,9168879
357874000,0,0,4.4,103.79538,1.22394,322.0,315,2021-11-04 08:35:14,9168879
357874000,0,0,4.4,103.79486,1.2246,321.0,315,2021-11-04 08:35:56,9168879
357874000,0,0,4.5,103.79406,1.2256,320.0,318,2021-11-04 08:36:56,9168879
357874000,0,0,4.6,103.79327,1.22658,321.0,320,2021-11-04 08:37:56,9168879
357874000,0,0,4.7,103.793,1.22694,322.0,320,2021-11-04 08:38:14,9168879
357874000,0,0,4.8,103.79073,1.23018,324.0,320,2021-11-04 08:41:14,9168879
357874000,0,0,4.8,103.78953,1.23182,325.0,320,2021-11-04 08:42:46,9168879
357874000,0,0,4.8,103.7894,1.23201,325.0,320,2021-11-04 08:42:55,9168879
357874000,0,0,4.9,103.78875,1.23301,325.0,320,2021-11-04 08:43:45,9168879
357874000,0,0,4.9,103.78799,1.23408,324.0,320,2021-11-04 08:44:46,9168879
357874000,0,0,4.9,103.78726,1.23519,324.0,320,2021-11-04 08:45:46,9168879
357874000,0,0,4.9,103.78713,1.23537,324.0,320,2021-11-04 08:45:55,9168879
357874000,0,0,4.9,103.78654,1.23613,323.0,322,2021-11-04 08:46:36,9168879
357874000,0,0,4.9,103.78641,1.23629,324.0,323,2021-11-04 08:46:45,9168879
357874000,0,0,4.9,103.78628,1.23647,324.0,324,2021-11-04 08:46:55,9168879
357874000,0,0,4.8,103.78565,1.23741,326.0,330,2021-11-04 08:47:46,9168879
357874000,0,127,4.8,103.78555,1.23757,327.0,331,2021-11-04 08:47:55,9168879
357874000,0,127,4.7,103.78493,1.23878,337.0,347,2021-11-04 08:48:55,9168879
357874000,0,127,4.7,103.78472,1.23985,351.0,358,2021-11-04 08:49:46,9168879
357874000,0,127,4.7,103.7847,1.24029,356.0,2,2021-11-04 08:50:06,9168879
357874000,0,127,4.7,103.78471,1.24094,2.0,10,2021-11-04 08:50:36,9168879
357874000,0,127,4.7,103.78476,1.24136,7.0,15,2021-11-04 08:50:55,9168879
357874000,0,127,4.7,103.78481,1.24159,10.0,18,2021-11-04 08:51:06,9168879
357874000,0,127,4.7,103.78485,1.24176,12.0,20,2021-11-04 08:51:14,9168879
357874000,0,127,4.7,103.78501,1.24221,20.0,25,2021-11-04 08:51:35,9168879
357874000,0,127,4.8,103.78521,1.24259,25.0,28,2021-11-04 08:51:55,9168879
357874000,0,0,4.8,103.78581,1.24351,37.0,36,2021-11-04 08:52:45,9168879
357874000,0,0,4.7,103.78596,1.24368,39.0,37,2021-11-04 08:52:55,9168879
357874000,0,0,4.7,103.78611,1.24383,41.0,38,2021-11-04 08:53:06,9168879
357874000,0,0,4.7,103.78772,1.24517,55.0,44,2021-11-04 08:54:45,9168879
357874000,0,0,4.7,103.78791,1.24528,57.0,43,2021-11-04 08:54:55,9168879
357874000,0,0,4.7,103.78883,1.24586,59.0,40,2021-11-04 08:55:45,9168879
357874000,0,0,4.6,103.7892,1.24608,58.0,38,2021-11-04 08:56:05,9168879
357874000,0,0,4.5,103.78956,1.2463,57.0,37,2021-11-04 08:56:25,9168879
357874000,0,0,4.2,103.7909,1.24724,54.0,31,2021-11-04 08:57:46,9168879
357874000,0,0,4.2,103.79104,1.24734,54.0,30,2021-11-04 08:57:55,9168879
357874000,0,0,4.2,103.7912,1.24746,53.0,29,2021-11-04 08:58:05,9168879
357874000,0,0,3.5,103.79283,1.24882,46.0,16,2021-11-04 09:00:05,9168879
357874000,0,0,2.9,103.79323,1.24924,46.0,11,2021-11-04 09:00:45,9168879
357874000,0,0,1.6,103.79375,1.24969,50.0,6,2021-11-04 09:01:55,9168879
357874000,0,0,1.4,103.79384,1.24977,51.0,6,2021-11-04 09:02:14,9168879
357874000,0,0,1.4,103.7939,1.24981,52.0,6,2021-11-04 09:02:25,9168879
357874000,0,0,1.3,103.79395,1.24985,52.0,6,2021-11-04 09:02:36,9168879
