MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
563105800,0,5,5.3,103.60956,1.20678,112.8,122,2021-11-10 15:00:13,9793935
563105800,0,-13,5.5,103.61142,1.20599,110.9,116,2021-11-10 15:01:34,9793935
563105800,0,-8,5.6,103.61215,1.20573,110.2,113,2021-11-10 15:02:03,9793935
563105800,0,0,6.5,103.62009,1.20392,98.9,100,2021-11-10 15:06:53,9793935
563105800,0,4,6.8,103.62312,1.20351,97.0,100,2021-11-10 15:08:32,9793935
563105800,0,0,6.9,103.62409,1.20339,97.0,100,2021-11-10 15:09:04,9793935
563105800,0,3,7.0,103.62502,1.20329,96.7,100,2021-11-10 15:09:32,9793935
563105800,0,0,7.1,103.62696,1.20307,95.8,101,2021-11-10 15:10:32,9793935
563105800,0,-8,7.2,103.62802,1.20295,94.6,100,2021-11-10 15:11:04,9793935
563105800,0,-4,7.2,103.62835,1.20291,96.8,100,2021-11-10 15:11:13,9793935
563105800,0,5,7.4,103.63098,1.20274,92.6,95,2021-11-10 15:12:32,9793935
563105800,0,3,8.2,103.63783,1.20252,91.6,96,2021-11-10 15:15:42,9793935
563105800,0,-8,9.2,103.65072,1.20212,90.5,95,2021-11-10 15:21:03,9793935
563105800,0,-12,9.2,103.652,1.20211,89.5,92,2021-11-10 15:21:32,9793935
563105800,0,-15,8.9,103.6562,1.2026,76.0,73,2021-11-10 15:23:13,9793935
563105800,0,-4,7.6,103.66643,1.20672,65.8,65,2021-11-10 15:28:02,9793935
563105800,0,-4,6.7,103.6833,1.21464,60.5,59,2021-11-10 15:37:42,9793935
563105800,0,6,6.9,103.68662,1.21649,61.8,60,2021-11-10 15:39:42,9793935
563105800,0,-4,6.9,103.68966,1.21823,61.2,59,2021-11-10 15:41:32,9793935
563105800,0,-5,6.8,103.69044,1.21869,60.2,59,2021-11-10 15:42:02,9793935
563105800,0,-7,6.7,103.69124,1.21917,59.0,58,2021-11-10 15:42:32,9793935
563105800,0,-8,6.6,103.69205,1.21967,57.4,56,2021-11-10 15:43:02,9793935
563105800,0,-9,6.5,103.69279,1.22014,56.2,55,2021-11-10 15:43:32,9793935
563105800,0,-10,6.4,103.69354,1.22063,55.0,53,2021-11-10 15:44:02,9793935
563105800,0,-5,6.9,103.69945,1.22504,52.6,51,2021-11-10 15:48:02,9793935
563105800,0,-4,6.6,103.70118,1.22633,53.8,51,2021-11-10 15:49:12,9793935
