MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
352687000,0,0,7.2,103.61084,1.20697,96.1,96.0,2021-11-06 08:04:12,9081019
352687000,0,0,10.7,103.62095,1.20585,99.3,100.0,2021-11-06 08:08:02,9081019
352687000,0,0,11.0,103.62398,1.20536,98.7,100.0,2021-11-06 08:09:02,9081019
352687000,0,0,11.8,103.62966,1.20452,97.6,101.0,2021-11-06 08:10:52,9081019
352687000,0,0,11.9,103.63022,1.20444,98.3,100.0,2021-11-06 08:11:02,9081019
352687000,0,0,12.1,103.63072,1.20436,98.3,100.0,2021-11-06 08:11:12,9081019
352687000,0,0,12.7,103.63416,1.20385,97.4,97.0,2021-11-06 08:12:12,9081019
352687000,0,0,12.9,103.63538,1.20372,95.4,96.0,2021-11-06 08:12:32,9081019
352687000,0,0,13.0,103.63772,1.20353,94.7,96.0,2021-11-06 08:13:11,9081019
352687000,0,0,13.1,103.63838,1.20347,94.7,95.0,2021-11-06 08:13:22,9081019
352687000,0,0,13.1,103.63899,1.20341,95.9,94.0,2021-11-06 08:13:31,9081019
352687000,0,0,13.3,103.64205,1.20326,90.6,90.0,2021-11-06 08:14:21,9081019
352687000,0,0,13.3,103.64451,1.20325,89.9,90.0,2021-11-06 08:15:02,9081019
352687000,0,0,13.3,103.64513,1.20324,90.6,90.0,2021-11-06 08:15:11,9081019
352687000,0,-127,13.4,103.64843,1.20324,86.1,81.0,2021-11-06 08:16:05,9081019
352687000,0,0,13.4,103.64886,1.2033,84.9,80.0,2021-11-06 08:16:11,9081019
352687000,0,0,13.3,103.64946,1.2034,82.3,80.0,2021-11-06 08:16:21,9081019
352687000,0,0,13.3,103.65008,1.20348,82.2,80.0,2021-11-06 08:16:31,9081019
352687000,0,0,13.4,103.65192,1.20377,81.1,79.0,2021-11-06 08:17:01,9081019
352687000,0,0,13.4,103.65317,1.20397,80.1,77.0,2021-11-06 08:17:22,9081019
352687000,0,0,13.3,103.65502,1.20436,76.5,76.0,2021-11-06 08:17:51,9081019
352687000,0,0,13.4,103.65562,1.2045,77.7,75.0,2021-11-06 08:18:01,9081019
352687000,0,0,13.4,103.65622,1.20464,76.5,73.0,2021-11-06 08:18:11,9081019
352687000,0,0,13.4,103.65679,1.2048,75.9,72.0,2021-11-06 08:18:21,9081019
352687000,0,0,13.4,103.65738,1.20496,74.3,71.0,2021-11-06 08:18:31,9081019
352687000,0,0,13.3,103.66025,1.20594,71.0,70.0,2021-11-06 08:19:21,9081019
352687000,0,0,13.3,103.6609,1.20617,70.6,70.0,2021-11-06 08:19:31,9081019
352687000,0,0,13.3,103.66143,1.20636,70.6,70.0,2021-11-06 08:19:41,9081019
352687000,0,0,13.3,103.66209,1.20658,70.5,70.0,2021-11-06 08:19:51,9081019
352687000,0,0,13.3,103.66268,1.20678,70.7,70.0,2021-11-06 08:20:01,9081019
352687000,0,0,13.3,103.66379,1.20717,70.7,70.0,2021-11-06 08:20:21,9081019
352687000,0,0,13.3,103.66441,1.2074,70.5,70.0,2021-11-06 08:20:31,9081019
352687000,0,0,13.3,103.66559,1.2078,70.1,70.0,2021-11-06 08:20:51,9081019
352687000,0,0,13.3,103.66845,1.20883,70.4,70.0,2021-11-06 08:21:41,9081019
352687000,0,0,13.3,103.66907,1.20908,69.5,70.0,2021-11-06 08:21:51,9081019
352687000,0,0,13.3,103.66966,1.2093,69.6,71.0,2021-11-06 08:22:01,9081019
352687000,0,0,13.4,103.67191,1.21015,69.5,70.0,2021-11-06 08:22:41,9081019
352687000,0,0,13.4,103.67256,1.2104,69.6,70.0,2021-11-06 08:22:51,9081019
352687000,0,0,13.4,103.67315,1.21061,69.6,70.0,2021-11-06 08:23:01,9081019
352687000,0,0,13.4,103.67367,1.21081,70.2,69.0,2021-11-06 08:23:11,9081019
352687000,0,0,13.4,103.67489,1.21126,69.0,66.0,2021-11-06 08:23:31,9081019
352687000,0,0,13.4,103.67543,1.21149,67.2,65.0,2021-11-06 08:23:41,9081019
352687000,0,0,13.4,103.6766,1.21204,65.4,65.0,2021-11-06 08:24:01,9081019
352687000,0,0,13.4,103.67712,1.21228,65.2,65.0,2021-11-06 08:24:11,9081019
352687000,0,0,13.4,103.67831,1.21284,64.6,65.0,2021-11-06 08:24:31,9081019
352687000,0,0,13.5,103.67882,1.21307,64.5,65.0,2021-11-06 08:24:41,9081019
352687000,0,0,13.6,103.68175,1.21448,64.5,65.0,2021-11-06 08:25:31,9081019
352687000,0,0,13.6,103.68287,1.21503,63.7,65.0,2021-11-06 08:25:51,9081019
352687000,0,0,13.6,103.68343,1.21531,63.5,65.0,2021-11-06 08:26:01,9081019
352687000,0,0,13.7,103.68393,1.21556,63.3,65.0,2021-11-06 08:26:11,9081019
352687000,0,0,13.7,103.68622,1.21671,63.9,65.0,2021-11-06 08:26:51,9081019
352687000,0,0,13.8,103.68682,1.217,64.7,63.0,2021-11-06 08:27:01,9081019
352687000,0,0,13.8,103.68731,1.21725,63.2,62.0,2021-11-06 08:27:11,9081019
352687000,0,0,13.8,103.68958,1.21855,59.2,60.0,2021-11-06 08:27:51,9081019
352687000,0,0,13.8,103.69007,1.21885,58.7,60.0,2021-11-06 08:28:01,9081019
352687000,0,0,13.8,103.69065,1.21922,58.2,60.0,2021-11-06 08:28:11,9081019
352687000,0,0,13.9,103.69286,1.22058,58.7,60.0,2021-11-06 08:28:51,9081019
352687000,0,0,13.9,103.69336,1.22088,58.3,60.0,2021-11-06 08:29:01,9081019
352687000,0,0,14.0,103.69397,1.22127,58.1,60.0,2021-11-06 08:29:11,9081019
352687000,0,0,14.0,103.69494,1.22186,57.7,57.0,2021-11-06 08:29:30,9081019
352687000,0,0,14.0,103.69511,1.22198,57.1,56.0,2021-11-06 08:29:32,9081019
352687000,0,0,14.0,103.69529,1.22209,57.0,56.0,2021-11-06 08:29:35,9081019
352687000,0,0,14.1,103.69557,1.22226,56.3,55.0,2021-11-06 08:29:41,9081019
352687000,0,0,14.1,103.69594,1.2225,55.2,55.0,2021-11-06 08:29:48,9081019
352687000,0,0,14.1,103.69614,1.22265,54.6,55.0,2021-11-06 08:29:51,9081019
352687000,0,0,14.1,103.69655,1.22297,53.7,55.0,2021-11-06 08:30:00,9081019
352687000,0,0,14.1,103.6966,1.22301,53.6,55.0,2021-11-06 08:30:01,9081019
352687000,0,0,14.1,103.69687,1.22322,53.5,55.0,2021-11-06 08:30:05,9081019
352687000,0,0,14.1,103.69719,1.22346,53.3,55.0,2021-11-06 08:30:11,9081019
352687000,0,0,14.1,103.69751,1.2237,53.2,55.0,2021-11-06 08:30:17,9081019
352687000,0,0,14.1,103.69784,1.22393,53.2,55.0,2021-11-06 08:30:18,9081019
352687000,0,0,14.1,103.69815,1.22417,53.2,55.0,2021-11-06 08:30:30,9081019
352687000,0,0,14.1,103.69846,1.2244,53.2,55.0,2021-11-06 08:30:36,9081019
352687000,0,0,14.2,103.69907,1.22488,53.6,55.0,2021-11-06 08:30:48,9081019
352687000,0,0,14.3,103.6997,1.22534,53.4,55.0,2021-11-06 08:31:00,9081019
352687000,0,0,14.3,103.70033,1.22581,53.7,56.0,2021-11-06 08:31:12,9081019
352687000,0,0,14.3,103.70064,1.22605,54.0,55.0,2021-11-06 08:31:18,9081019
352687000,0,0,14.3,103.70097,1.22628,54.5,55.0,2021-11-06 08:31:24,9081019
352687000,0,0,14.4,103.70163,1.22675,53.9,55.0,2021-11-06 08:31:36,9081019
352687000,0,0,14.4,103.70226,1.22721,54.3,56.0,2021-11-06 08:31:48,9081019
352687000,0,0,14.5,103.70323,1.22791,54.7,56.0,2021-11-06 08:32:06,9081019
352687000,0,0,14.6,103.70561,1.22956,54.9,56.0,2021-11-06 08:32:48,9081019
352687000,0,0,14.6,103.70629,1.23004,55.6,55.0,2021-11-06 08:33:00,9081019
352687000,0,0,14.7,103.70664,1.23027,55.8,55.0,2021-11-06 08:33:06,9081019
352687000,0,0,14.7,103.70698,1.23051,55.4,55.0,2021-11-06 08:33:12,9081019
352687000,0,0,14.7,103.70731,1.23075,55.3,55.0,2021-11-06 08:33:18,9081019
352687000,0,0,14.7,103.70764,1.231,55.6,55.0,2021-11-06 08:33:24,9081019
352687000,0,0,14.7,103.70833,1.23146,56.5,54.0,2021-11-06 08:33:36,9081019
