MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
256687000,0,0,5.0,103.60995,1.20565,100.0,95,2021-11-10 09:08:07,9436379
256687000,0,8,4.6,103.61277,1.20512,99.0,98,2021-11-10 09:10:17,9436379
256687000,0,8,4.5,103.61342,1.20502,100.0,100,2021-11-10 09:10:47,9436379
256687000,0,0,4.6,103.61402,1.20488,102.0,101,2021-11-10 09:11:17,9436379
256687000,0,-8,5.4,103.61548,1.20448,102.0,96,2021-11-10 09:12:17,9436379
256687000,0,0,6.0,103.61708,1.20423,98.0,95,2021-11-10 09:13:17,9436379
256687000,0,0,6.9,103.62072,1.2038,95.0,95,2021-11-10 09:15:16,9436379
256687000,0,0,7.2,103.62177,1.20368,95.0,95,2021-11-10 09:15:47,9436379
256687000,0,0,7.4,103.62277,1.20358,95.0,95,2021-11-10 09:16:16,9436379
256687000,0,0,7.6,103.62382,1.20348,95.0,95,2021-11-10 09:16:46,9436379
256687000,0,0,7.9,103.62605,1.20328,94.0,95,2021-11-10 09:17:46,9436379
256687000,0,0,8.0,103.62713,1.2032,94.0,95,2021-11-10 09:18:16,9436379
256687000,0,0,8.3,103.62908,1.20305,93.0,95,2021-11-10 09:19:07,9436379
256687000,0,0,8.5,103.6318,1.20287,94.0,95,2021-11-10 09:20:16,9436379
256687000,0,0,8.9,103.63917,1.20243,90.0,90,2021-11-10 09:23:16,9436379
256687000,0,-9,8.8,103.64413,1.2026,85.0,80,2021-11-10 09:25:16,9436379
256687000,0,0,8.8,103.6454,1.20278,82.0,80,2021-11-10 09:25:47,9436379
256687000,0,0,8.9,103.64657,1.20298,80.0,80,2021-11-10 09:26:17,9436379
256687000,0,-8,8.9,103.64785,1.20313,82.0,79,2021-11-10 09:26:47,9436379
256687000,0,-12,8.9,103.64908,1.20333,80.0,76,2021-11-10 09:27:17,9436379
256687000,0,0,8.9,103.6503,1.2036,77.0,75,2021-11-10 09:27:47,9436379
256687000,0,0,9.0,103.65392,1.20455,75.0,75,2021-11-10 09:29:17,9436379
256687000,0,0,9.1,103.65553,1.205,74.0,75,2021-11-10 09:29:56,9436379
256687000,0,0,9.2,103.65877,1.20593,73.0,75,2021-11-10 09:31:16,9436379
256687000,0,-9,9.2,103.66005,1.2063,74.0,74,2021-11-10 09:31:47,9436379
256687000,0,-11,9.2,103.66127,1.20663,73.0,71,2021-11-10 09:32:16,9436379
256687000,0,-12,9.2,103.66363,1.20743,71.0,67,2021-11-10 09:33:16,9436379
256687000,0,-13,9.1,103.66488,1.2079,69.0,63,2021-11-10 09:33:47,9436379
256687000,0,-12,9.1,103.66523,1.20805,68.0,62,2021-11-10 09:33:56,9436379
256687000,0,0,9.1,103.66825,1.20963,61.0,60,2021-11-10 09:35:16,9436379
256687000,0,0,9.2,103.67043,1.21087,60.0,60,2021-11-10 09:36:16,9436379
256687000,0,0,9.2,103.67085,1.2111,60.0,60,2021-11-10 09:36:27,9436379
256687000,0,-9,9.3,103.67273,1.21215,61.0,58,2021-11-10 09:37:16,9436379
256687000,0,0,9.3,103.67383,1.21283,58.0,57,2021-11-10 09:37:47,9436379
256687000,0,0,9.4,103.67712,1.21492,57.0,57,2021-11-10 09:39:16,9436379
256687000,0,0,9.5,103.6783,1.21568,57.0,57,2021-11-10 09:39:47,9436379
256687000,0,5,9.6,103.6794,1.2164,56.0,57,2021-11-10 09:40:16,9436379
256687000,0,0,9.6,103.68055,1.21717,56.0,57,2021-11-10 09:40:47,9436379
256687000,0,0,9.9,103.68615,1.22097,55.0,57,2021-11-10 09:43:16,9436379
256687000,0,0,9.9,103.69963,1.22827,68.0,75,2021-11-10 09:48:47,9436379
256687000,0,-12,10.1,103.70492,1.23027,67.0,66,2021-11-10 09:50:47,9436379
256687000,0,-9,10.0,103.70613,1.23085,65.0,64,2021-11-10 09:51:17,9436379
256687000,0,0,9.9,103.71213,1.23445,52.0,50,2021-11-10 09:53:47,9436379
256687000,0,0,10.0,103.71252,1.23472,53.0,50,2021-11-10 09:53:57,9436379
256687000,0,11,10.1,103.71542,1.237,52.0,54,2021-11-10 09:55:16,9436379
256687000,0,11,10.1,103.71767,1.23865,54.0,59,2021-11-10 09:56:16,9436379
256687000,0,14,10.2,103.71883,1.23945,55.0,63,2021-11-10 09:56:46,9436379
256687000,0,16,10.1,103.72008,1.24022,58.0,69,2021-11-10 09:57:16,9436379
256687000,0,16,10.1,103.72135,1.24085,62.0,75,2021-11-10 09:57:46,9436379
256687000,0,16,10.0,103.7226,1.24138,66.0,81,2021-11-10 09:58:16,9436379
256687000,0,11,9.8,103.72392,1.24175,73.0,85,2021-11-10 09:58:46,9436379
256687000,0,9,9.7,103.72522,1.24203,76.0,86,2021-11-10 09:59:16,9436379
256687000,0,9,9.6,103.72662,1.24232,79.0,90,2021-11-10 09:59:46,9436379
256687000,0,0,9.5,103.72787,1.24243,83.0,90,2021-11-10 10:00:16,9436379
256687000,0,-5,9.4,103.73057,1.24265,86.0,90,2021-11-10 10:01:17,9436379
256687000,0,-11,9.3,103.73178,1.24268,87.0,88,2021-11-10 10:01:46,9436379
256687000,0,-5,9.3,103.73783,1.24338,83.0,85,2021-11-10 10:04:07,9436379
256687000,0,-8,9.3,103.73827,1.24342,83.0,84,2021-11-10 10:04:17,9436379
256687000,0,-7,9.3,103.73958,1.24357,82.0,82,2021-11-10 10:04:47,9436379
256687000,0,0,9.3,103.74087,1.24378,81.0,82,2021-11-10 10:05:17,9436379
256687000,0,0,9.2,103.7421,1.24397,80.0,82,2021-11-10 10:05:47,9436379
256687000,0,0,8.9,103.74338,1.24418,81.0,83,2021-11-10 10:06:17,9436379
256687000,0,0,8.5,103.74527,1.24445,81.0,82,2021-11-10 10:07:06,9436379
256687000,0,0,7.5,103.75185,1.24545,81.0,82,2021-11-10 10:10:06,9436379
256687000,0,0,7.3,103.75353,1.2457,81.0,83,2021-11-10 10:10:57,9436379
256687000,0,0,7.6,103.75527,1.2459,81.0,82,2021-11-10 10:11:47,9436379
256687000,0,0,7.7,103.75632,1.24603,82.0,82,2021-11-10 10:12:17,9436379
256687000,0,0,7.9,103.75747,1.24622,81.0,82,2021-11-10 10:12:47,9436379
256687000,0,0,8.0,103.76078,1.2467,81.0,82,2021-11-10 10:14:17,9436379
256687000,0,0,7.8,103.7619,1.24687,82.0,83,2021-11-10 10:14:47,9436379
256687000,0,5,7.6,103.76295,1.24697,82.0,83,2021-11-10 10:15:17,9436379
256687000,0,-9,8.0,103.76512,1.2471,87.0,81,2021-11-10 10:16:17,9436379
256687000,0,0,7.8,103.76733,1.2473,85.0,80,2021-11-10 10:17:17,9436379
256687000,0,0,7.5,103.76943,1.24745,86.0,80,2021-11-10 10:18:17,9436379
256687000,0,0,7.1,103.77145,1.24757,86.0,79,2021-11-10 10:19:17,9436379
256687000,0,0,6.6,103.77457,1.24772,87.0,77,2021-11-10 10:20:57,9436379
256687000,0,-7,6.2,103.77687,1.2478,87.0,75,2021-11-10 10:22:16,9436379
256687000,0,-7,5.8,103.77853,1.2479,86.0,73,2021-11-10 10:23:16,9436379
256687000,0,-5,5.6,103.77932,1.24797,85.0,72,2021-11-10 10:23:47,9436379
256687000,0,0,5.5,103.7801,1.24807,83.0,71,2021-11-10 10:24:16,9436379
256687000,0,-7,5.2,103.78153,1.24818,84.0,70,2021-11-10 10:25:16,9436379
256687000,0,-13,5.6,103.78233,1.24822,87.0,66,2021-11-10 10:25:47,9436379
256687000,0,-14,5.7,103.78315,1.24828,86.0,61,2021-11-10 10:26:16,9436379
256687000,0,-12,5.5,103.7839,1.24835,84.0,57,2021-11-10 10:26:47,9436379
256687000,0,-13,4.5,103.78813,1.24937,69.0,27,2021-11-10 10:29:47,9436379
256687000,0,-13,4.3,103.7887,1.24962,67.0,23,2021-11-10 10:30:17,9436379
256687000,0,-8,3.8,103.78965,1.25018,53.0,16,2021-11-10 10:31:17,9436379
256687000,0,0,3.8,103.79032,1.25098,37.0,15,2021-11-10 10:32:17,9436379
256687000,0,0,4.2,103.7909,1.25198,30.0,16,2021-11-10 10:33:17,9436379
256687000,0,-7,4.0,103.79187,1.2542,21.0,13,2021-11-10 10:35:17,9436379
256687000,0,-11,2.9,103.79243,1.25598,14.0,4,2021-11-10 10:37:17,9436379
256687000,0,0,1.3,103.79257,1.25705,355.0,355,2021-11-10 10:39:17,9436379
256687000,0,9,1.1,103.79242,1.25747,334.0,359,2021-11-10 10:40:45,9436379
256687000,0,11,1.2,103.79232,1.25763,329.0,2,2021-11-10 10:41:17,9436379
256687000,0,12,1.3,103.79198,1.2581,323.0,12,2021-11-10 10:42:45,9436379
256687000,0,12,1.2,103.79187,1.25825,322.0,16,2021-11-10 10:43:17,9436379
256687000,0,9,1.0,103.79177,1.25832,309.0,18,2021-11-10 10:43:45,9436379
