MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
236111884,0,0,12.2,103.61987,1.20493,96.4,95,2021-11-05 04:09:08,9427952
236111884,0,0,13.0,103.62454,1.2044,95.8,95,2021-11-05 04:10:28,9427952
236111884,0,0,13.1,103.62576,1.20427,95.4,95,2021-11-05 04:10:48,9427952
236111884,0,0,13.2,103.62637,1.2042,95.4,95,2021-11-05 04:10:58,9427952
236111884,0,0,13.5,103.63205,1.20363,94.5,95,2021-11-05 04:12:29,9427952
236111884,0,0,13.5,103.63311,1.20353,95.0,95,2021-11-05 04:12:48,9427952
236111884,0,0,13.6,103.6351,1.20333,95.4,95,2021-11-05 04:13:18,9427952
236111884,0,0,13.6,103.6358,1.20327,94.5,95,2021-11-05 04:13:29,9427952
236111884,0,0,13.5,103.64014,1.20298,91.2,90,2021-11-05 04:14:39,9427952
236111884,0,0,13.3,103.64071,1.20297,90.8,90,2021-11-05 04:14:48,9427952
236111884,0,0,13.1,103.64131,1.20295,91.7,90,2021-11-05 04:14:58,9427952
236111884,0,0,12.0,103.64477,1.20303,86.9,85,2021-11-05 04:15:58,9427952
236111884,0,0,11.7,103.64592,1.2031,87.4,85,2021-11-05 04:16:18,9427952
236111884,0,0,11.1,103.65014,1.20335,86.0,85,2021-11-05 04:17:39,9427952
236111884,0,0,10.8,103.65265,1.20351,85.5,85,2021-11-05 04:18:28,9427952
236111884,0,0,10.8,103.65315,1.20355,86.0,85,2021-11-05 04:18:39,9427952
236111884,0,0,10.5,103.65655,1.20378,84.5,84,2021-11-05 04:19:48,9427952
236111884,0,0,10.5,103.65757,1.2039,83.6,82,2021-11-05 04:20:09,9427952
236111884,0,0,10.3,103.65943,1.20415,82.2,79,2021-11-05 04:20:48,9427952
236111884,0,0,9.9,103.66353,1.20504,72.8,70,2021-11-05 04:22:18,9427952
236111884,0,0,9.6,103.66568,1.20582,67.9,65,2021-11-05 04:23:09,9427952
236111884,0,0,9.6,103.66605,1.20599,66.7,65,2021-11-05 04:23:18,9427952
236111884,0,0,9.6,103.66647,1.20616,67.3,65,2021-11-05 04:23:28,9427952
236111884,0,0,9.7,103.6689,1.20726,65.0,65,2021-11-05 04:24:28,9427952
236111884,0,0,9.7,103.6693,1.20744,65.0,65,2021-11-05 04:24:38,9427952
236111884,0,0,9.7,103.66971,1.20764,64.4,65,2021-11-05 04:24:48,9427952
236111884,0,0,9.7,103.67133,1.20843,65.0,65,2021-11-05 04:25:28,9427952
236111884,0,0,9.8,103.67175,1.20861,63.8,65,2021-11-05 04:25:38,9427952
236111884,0,0,10.1,103.67217,1.20883,64.4,65,2021-11-05 04:25:48,9427952
236111884,0,0,11.3,103.67442,1.20991,63.9,65,2021-11-05 04:26:38,9427952
236111884,0,0,11.5,103.6749,1.21014,64.0,66,2021-11-05 04:26:48,9427952
236111884,0,0,11.6,103.67538,1.21038,64.5,65,2021-11-05 04:26:58,9427952
236111884,0,0,11.8,103.67592,1.21063,64.0,65,2021-11-05 04:27:09,9427952
236111884,0,0,11.8,103.67637,1.21084,65.0,65,2021-11-05 04:27:18,9427952
236111884,0,0,11.9,103.67687,1.21108,64.0,65,2021-11-05 04:27:28,9427952
236111884,0,0,12.2,103.67787,1.21156,64.5,65,2021-11-05 04:27:48,9427952
236111884,0,0,12.2,103.67837,1.21181,64.0,65,2021-11-05 04:27:58,9427952
236111884,0,0,12.3,103.67888,1.21206,64.5,65,2021-11-05 04:28:09,9427952
236111884,0,0,12.4,103.67992,1.21256,64.0,65,2021-11-05 04:28:28,9427952
236111884,0,0,12.4,103.68095,1.21306,64.0,65,2021-11-05 04:28:48,9427952
236111884,0,0,12.5,103.68147,1.21331,64.0,65,2021-11-05 04:28:58,9427952
236111884,0,0,12.4,103.682,1.21356,64.0,65,2021-11-05 04:29:08,9427952
236111884,0,0,11.7,103.68395,1.21453,62.5,64,2021-11-05 04:29:48,9427952
236111884,0,0,11.4,103.6849,1.21502,61.9,63,2021-11-05 04:30:08,9427952
236111884,0,0,11.3,103.68542,1.21529,60.9,62,2021-11-05 04:30:18,9427952
236111884,0,0,10.7,103.68763,1.21654,59.4,60,2021-11-05 04:31:08,9427952
236111884,0,0,10.8,103.68858,1.21709,60.0,60,2021-11-05 04:31:29,9427952
236111884,0,0,11.0,103.6894,1.21759,59.0,59,2021-11-05 04:31:49,9427952
236111884,0,0,11.2,103.68983,1.21785,57.4,58,2021-11-05 04:31:58,9427952
236111884,0,0,11.3,103.69023,1.2181,58.0,57,2021-11-05 04:32:08,9427952
236111884,0,0,11.5,103.69072,1.21842,56.0,56,2021-11-05 04:32:18,9427952
236111884,0,0,11.6,103.69121,1.21875,57.4,56,2021-11-05 04:32:29,9427952
236111884,0,0,11.9,103.69208,1.21934,55.9,55,2021-11-05 04:32:49,9427952
236111884,0,0,12.3,103.69348,1.22029,56.3,55,2021-11-05 04:33:18,9427952
236111884,0,0,12.6,103.69493,1.22125,55.9,55,2021-11-05 04:33:49,9427952
236111884,0,0,12.7,103.69585,1.22189,55.4,55,2021-11-05 04:34:08,9427952
236111884,0,0,13.0,103.69787,1.22329,55.0,55,2021-11-05 04:34:49,9427952
236111884,0,0,13.1,103.69882,1.22395,54.5,55,2021-11-05 04:35:08,9427952
236111884,0,0,13.2,103.69937,1.22434,55.8,55,2021-11-05 04:35:18,9427952
236111884,0,0,13.2,103.70083,1.22542,54.3,53,2021-11-05 04:35:49,9427952
236111884,0,0,13.2,103.70181,1.22613,53.8,53,2021-11-05 04:36:08,9427952
