MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
229657000,0,0,6.6,103.83008,1.20699,274.9,280,2021-11-07 11:22:13,9625281
229657000,0,0,7.0,103.8244,1.20788,281.9,285,2021-11-07 11:24:51,9625281
229657000,0,0,7.1,103.82344,1.20808,282.2,285,2021-11-07 11:25:21,9625281
229657000,0,-6,7.4,103.81947,1.20894,281.7,284,2021-11-07 11:27:20,9625281
229657000,0,4,7.5,103.81433,1.20998,282.0,285,2021-11-07 11:29:51,9625281
229657000,0,-4,7.5,103.81334,1.2102,282.9,285,2021-11-07 11:30:19,9625281
229657000,0,15,7.5,103.81227,1.21042,280.9,287,2021-11-07 11:30:51,9625281
229657000,0,7,7.5,103.81022,1.21101,293.2,295,2021-11-07 11:31:51,9625281
229657000,0,13,7.5,103.80931,1.21136,291.6,299,2021-11-07 11:32:19,9625281
229657000,0,4,7.5,103.80835,1.21184,298.1,301,2021-11-07 11:33:13,9625281
229657000,0,6,7.5,103.80434,1.21459,308.7,310,2021-11-07 11:35:10,9625281
229657000,0,4,7.5,103.80409,1.21478,309.0,310,2021-11-07 11:35:19,9625281
229657000,0,-1,8.0,103.80086,1.21771,316.2,311,2021-11-07 11:37:20,9625281
229657000,0,0,8.3,103.79837,1.22066,321.8,315,2021-11-07 11:39:00,9625281
229657000,0,0,8.6,103.79538,1.22436,319.3,314,2021-11-07 11:41:00,9625281
229657000,0,1,8.8,103.79325,1.22665,315.8,315,2021-11-07 11:42:21,9625281
229657000,0,-7,8.8,103.79156,1.22845,317.1,315,2021-11-07 11:43:20,9625281
229657000,0,18,8.6,103.78979,1.23028,313.7,319,2021-11-07 11:44:21,9625281
229657000,0,-1,8.5,103.78828,1.23216,322.1,320,2021-11-07 11:45:20,9625281
229657000,0,-3,8.4,103.78599,1.23534,324.5,320,2021-11-07 11:46:59,9625281
229657000,0,0,8.2,103.78414,1.23792,324.2,320,2021-11-07 11:48:21,9625281
229657000,0,18,7.8,103.78283,1.23973,321.6,323,2021-11-07 11:49:21,9625281
229657000,0,18,7.6,103.78173,1.24158,327.7,329,2021-11-07 11:50:21,9625281
229657000,0,1,7.6,103.78082,1.24351,336.1,330,2021-11-07 11:51:20,9625281
229657000,0,7,7.4,103.77937,1.24674,333.7,330,2021-11-07 11:53:00,9625281
229657000,0,3,7.3,103.77924,1.24702,333.7,330,2021-11-07 11:53:09,9625281
229657000,0,0,6.8,103.77853,1.24853,334.7,330,2021-11-07 11:54:00,9625281
229657000,0,16,5.7,103.77759,1.2506,331.7,332,2021-11-07 11:55:19,9625281
229657000,0,7,4.6,103.77681,1.25285,355.3,350,2021-11-07 11:57:00,9625281
229657000,0,-7,4.0,103.77684,1.2554,354.8,339,2021-11-07 11:59:00,9625281
229657000,0,0,4.2,103.77642,1.25771,347.6,339,2021-11-07 12:01:00,9625281
229657000,0,17,4.1,103.77601,1.2592,348.2,355,2021-11-07 12:02:21,9625281
