MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
215125000,0,5,6.1,103.78566,1.23501,340.5,335,2021-11-09 08:10:16,9780859
215125000,0,18,5.9,103.78504,1.23745,352.4,348,2021-11-09 08:11:46,9780859
215125000,0,16,5.9,103.78502,1.23828,359.7,355,2021-11-09 08:12:16,9780859
215125000,0,15,5.9,103.78508,1.23911,6.0,0,2021-11-09 08:12:46,9780859
215125000,0,9,6.0,103.7858,1.24151,23.4,14,2021-11-09 08:14:16,9780859
215125000,0,0,6.6,103.78809,1.24541,34.2,20,2021-11-09 08:16:48,9780859
215125000,0,-11,6.5,103.78859,1.24615,34.5,19,2021-11-09 08:17:16,9780859
215125000,0,0,5.7,103.7914,1.25043,33.6,17,2021-11-09 08:20:16,9780859
215125000,0,-8,5.1,103.79207,1.25149,31.1,15,2021-11-09 08:21:06,9780859
215125000,0,-8,5.0,103.79218,1.25169,30.3,14,2021-11-09 08:21:16,9780859
215125000,0,-8,2.7,103.79313,1.25362,22.8,4,2021-11-09 08:23:17,9780859
215125000,0,-8,1.8,103.79332,1.25407,22.4,2,2021-11-09 08:24:06,9780859
215125000,0,-7,1.3,103.79345,1.25441,17.9,0,2021-11-09 08:24:56,9780859
215125000,0,7,1.0,103.79345,1.25497,346.3,2,2021-11-09 08:26:46,9780859
215125000,0,7,0.9,103.7934,1.2551,335.8,3,2021-11-09 08:27:17,9780859
215125000,0,0,0.8,103.79302,1.25539,277.7,5,2021-11-09 08:29:17,9780859
215125000,0,-5,0.9,103.7927,1.25533,253.6,5,2021-11-09 08:30:37,9780859
215125000,0,-5,0.9,103.79254,1.25528,251.7,4,2021-11-09 08:31:17,9780859
215125000,0,7,0.8,103.79209,1.25507,238.4,5,2021-11-09 08:33:17,9780859
215125000,0,9,0.8,103.7919,1.25492,227.4,8,2021-11-09 08:34:17,9780859
215125000,0,9,0.9,103.79174,1.25473,220.8,12,2021-11-09 08:35:17,9780859
215125000,0,9,0.9,103.79166,1.25464,218.3,14,2021-11-09 08:35:46,9780859
