MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
353824000,0,127,9.8,103.80448,1.21394,289.2,296,2021-11-07 09:30:23,9172301
353824000,0,127,9.2,103.80238,1.21517,316.0,318,2021-11-07 09:31:17,9172301
353824000,0,0,9.4,103.80229,1.21527,316.5,318,2021-11-07 09:31:20,9172301
353824000,0,0,9.4,103.80219,1.21537,318.4,318,2021-11-07 09:31:23,9172301
353824000,0,127,9.4,103.80213,1.21544,318.3,318,2021-11-07 09:31:26,9172301
353824000,0,0,9.6,103.80068,1.21751,328.2,320,2021-11-07 09:32:23,9172301
353824000,0,0,9.9,103.79923,1.21979,327.2,320,2021-11-07 09:33:23,9172301
353824000,0,0,9.8,103.79774,1.22205,324.0,315,2021-11-07 09:34:23,9172301
353824000,0,0,10.0,103.79615,1.22427,321.0,315,2021-11-07 09:35:23,9172301
353824000,0,0,10.4,103.79433,1.22644,316.6,314,2021-11-07 09:36:23,9172301
353824000,0,0,10.2,103.79131,1.22943,316.6,315,2021-11-07 09:37:54,9172301
353824000,0,0,10.1,103.79036,1.23048,317.2,315,2021-11-07 09:38:23,9172301
353824000,0,0,10.2,103.7885,1.23253,319.3,315,2021-11-07 09:39:23,9172301
353824000,0,0,10.0,103.78665,1.23471,322.7,320,2021-11-07 09:40:23,9172301
353824000,0,0,9.9,103.78505,1.23695,323.0,320,2021-11-07 09:41:23,9172301
353824000,0,127,9.8,103.78376,1.23892,337.0,338,2021-11-07 09:42:15,9172301
353824000,0,0,9.8,103.7836,1.2394,342.4,340,2021-11-07 09:42:26,9172301
353824000,0,0,9.9,103.78312,1.24143,348.8,340,2021-11-07 09:43:13,9172301
353824000,0,0,9.8,103.78301,1.24194,349.4,340,2021-11-07 09:43:23,9172301
353824000,0,0,10.0,103.78275,1.2433,348.7,340,2021-11-07 09:43:53,9172301
353824000,0,-127,9.7,103.78215,1.24686,346.7,330,2021-11-07 09:45:13,9172301
353824000,0,0,8.7,103.78166,1.2482,329.1,319,2021-11-07 09:45:46,9172301
353824000,0,0,8.3,103.77983,1.25103,326.7,320,2021-11-07 09:47:13,9172301
353824000,0,-127,8.0,103.77859,1.25296,328.8,317,2021-11-07 09:48:13,9172301
353824000,0,0,7.1,103.77795,1.25375,312.1,304,2021-11-07 09:48:43,9172301
353824000,0,0,6.2,103.77726,1.25429,304.1,302,2021-11-07 09:49:13,9172301
353824000,0,0,6.0,103.77701,1.25446,301.9,302,2021-11-07 09:49:24,9172301
353824000,0,0,5.8,103.77633,1.25493,300.7,302,2021-11-07 09:49:53,9172301
353824000,0,127,5.3,103.77455,1.25593,299.3,311,2021-11-07 09:51:13,9172301
353824000,0,127,5.2,103.77431,1.25602,302.9,314,2021-11-07 09:51:24,9172301
353824000,0,127,4.7,103.77331,1.25699,315.9,321,2021-11-07 09:52:24,9172301
353824000,0,127,4.2,103.77254,1.25795,331.3,334,2021-11-07 09:53:24,9172301
353824000,0,127,3.5,103.77218,1.25895,347.1,349,2021-11-07 09:54:24,9172301
353824000,0,0,3.1,103.77225,1.26023,14.9,1,2021-11-07 09:56:15,9172301
353824000,0,0,3.6,103.77276,1.26144,22.4,358,2021-11-07 09:57:13,9172301
353824000,0,127,3.6,103.77345,1.26448,12.2,9,2021-11-07 10:00:13,9172301
353824000,0,127,3.2,103.77382,1.26546,26.4,24,2021-11-07 10:01:23,9172301
353824000,0,127,3.0,103.77425,1.26622,33.3,34,2021-11-07 10:02:23,9172301
353824000,0,0,2.9,103.77456,1.2668,40.9,39,2021-11-07 10:03:13,9172301
353824000,0,0,2.8,103.77467,1.26693,42.7,39,2021-11-07 10:03:23,9172301
353824000,0,127,3.4,103.77612,1.26857,43.0,61,2021-11-07 10:06:14,9172301
353824000,0,127,3.5,103.77615,1.2686,42.6,62,2021-11-07 10:06:15,9172301
353824000,0,127,3.6,103.77621,1.26866,44.5,64,2021-11-07 10:06:20,9172301
353824000,0,127,3.6,103.77693,1.26919,66.0,86,2021-11-07 10:07:14,9172301
353824000,0,127,3.6,103.77702,1.26923,68.6,89,2021-11-07 10:07:19,9172301
353824000,0,0,2.8,103.77971,1.26885,112.6,120,2021-11-07 10:10:22,9172301
353824000,0,0,2.3,103.78046,1.2686,108.1,113,2021-11-07 10:11:24,9172301
353824000,0,-127,2.0,103.78107,1.26841,100.6,106,2021-11-07 10:12:24,9172301
353824000,0,127,1.0,103.78151,1.2684,73.9,107,2021-11-07 10:13:24,9172301
353824000,0,-127,0.6,103.7817,1.26851,79.7,109,2021-11-07 10:14:24,9172301
353824000,0,-127,1.3,103.78189,1.26828,125.6,82,2021-11-07 10:15:15,9172301
353824000,0,-127,1.3,103.78189,1.26828,119.0,80,2021-11-07 10:15:20,9172301
353824000,0,-127,1.4,103.7819,1.26826,119.7,79,2021-11-07 10:15:23,9172301
353824000,0,-127,2.1,103.78232,1.26802,109.0,52,2021-11-07 10:16:37,9172301
353824000,0,-127,2.2,103.78236,1.26801,109.9,48,2021-11-07 10:16:44,9172301
353824000,0,-127,2.2,103.78238,1.26801,107.1,47,2021-11-07 10:16:45,9172301
353824000,0,-127,1.6,103.78263,1.26795,97.7,36,2021-11-07 10:17:13,9172301
353824000,0,-127,1.5,103.78266,1.26795,97.2,35,2021-11-07 10:17:16,9172301
353824000,0,-127,1.4,103.78266,1.26795,96.6,35,2021-11-07 10:17:19,9172301
353824000,0,-127,1.2,103.78269,1.26794,97.2,34,2021-11-07 10:17:23,9172301
353824000,0,-127,1.1,103.78273,1.26794,97.6,34,2021-11-07 10:17:27,9172301
353824000,0,-127,1.3,103.78293,1.26785,121.4,30,2021-11-07 10:18:23,9172301
353824000,5,0,0.2,103.78323,1.26759,139.0,3,2021-11-07 10:20:53,9172301
353824000,5,0,0.2,103.78332,1.26751,155.0,3,2021-11-07 10:23:03,9172301
353824000,5,0,0.2,103.78343,1.26746,39.4,3,2021-11-07 10:26:13,9172301
353824000,5,0,0.1,103.78346,1.26752,344.0,3,2021-11-07 10:40:00,9172301
353824000,5,0,0.1,103.78347,1.26748,200.0,3,2021-11-07 11:16:23,9172301
353824000,5,0,0.1,103.78341,1.26749,198.0,3,2021-11-07 13:43:05,9172301
353824000,5,0,0.2,103.78351,1.26765,199.0,3,2021-11-07 13:46:05,9172301
353824000,5,0,0.1,103.78336,1.26755,107.0,3,2021-11-07 14:48:24,9172301
353824000,5,0,0.1,103.78344,1.26754,256.0,3,2021-11-07 15:04:27,9172301
353824000,5,0,0.1,103.78326,1.26732,237.0,3,2021-11-07 15:31:27,9172301
353824000,5,0,0.1,103.78339,1.2675,207.0,3,2021-11-07 16:04:29,9172301
353824000,5,0,0.0,103.78354,1.26743,198.0,3,2021-11-07 16:10:28,9172301
353824000,5,0,0.2,103.78325,1.26746,180.0,3,2021-11-07 17:26:15,9172301
353824000,5,0,0.0,103.78329,1.26745,359.0,3,2021-11-07 17:59:15,9172301
353824000,5,0,0.5,103.78349,1.2675,166.0,3,2021-11-07 21:31:59,9172301
353824000,5,0,0.6,103.78317,1.26727,145.0,3,2021-11-07 22:04:59,9172301
353824000,5,127,0.1,103.78358,1.26747,167.0,3,2021-11-07 22:44:00,9172301
353824000,5,0,0.1,103.78325,1.26742,136.0,3,2021-11-07 23:05:00,9172301
353824000,5,0,0.1,103.78323,1.26742,52.9,3,2021-11-08 00:11:03,9172301
353824000,5,0,0.1,103.78347,1.26746,193.0,3,2021-11-08 00:50:06,9172301
353824000,5,0,0.1,103.78342,1.26747,67.7,3,2021-11-08 01:54:26,9172301
353824000,5,0,0.1,103.78334,1.26738,184.0,3,2021-11-08 04:48:16,9172301
353824000,5,0,0.1,103.78331,1.26747,168.0,3,2021-11-08 04:48:46,9172301
353824000,5,0,0.1,103.7834,1.26754,165.0,3,2021-11-08 04:49:16,9172301
353824000,5,0,0.0,103.78338,1.26749,175.0,3,2021-11-08 04:50:15,9172301
353824000,5,0,0.1,103.78338,1.26732,165.0,3,2021-11-08 04:51:06,9172301
353824000,5,0,0.0,103.78328,1.26748,169.0,3,2021-11-08 04:51:56,9172301
353824000,5,0,0.1,103.7833,1.26744,216.0,3,2021-11-08 04:53:07,9172301
353824000,5,0,0.0,103.7834,1.26742,197.0,3,2021-11-08 04:54:35,9172301
353824000,5,0,0.1,103.78333,1.26742,191.0,3,2021-11-08 04:55:07,9172301
353824000,5,0,0.1,103.78333,1.26746,196.0,3,2021-11-08 04:55:57,9172301
353824000,5,0,0.0,103.78333,1.26749,202.0,3,2021-11-08 04:56:07,9172301
353824000,5,0,0.1,103.78338,1.26757,184.0,3,2021-11-08 04:56:57,9172301
353824000,5,0,0.1,103.78337,1.26755,174.0,3,2021-11-08 04:58:16,9172301
353824000,5,0,0.1,103.78333,1.26753,171.0,3,2021-11-08 04:59:06,9172301
353824000,5,0,0.1,103.78334,1.26751,174.0,3,2021-11-08 04:59:36,9172301
353824000,5,0,0.1,103.78348,1.26743,149.0,3,2021-11-08 05:06:36,9172301
353824000,5,0,0.2,103.78314,1.26751,168.0,3,2021-11-08 05:07:56,9172301
353824000,5,0,0.0,103.78332,1.26751,198.0,3,2021-11-08 05:10:06,9172301
353824000,5,0,0.1,103.78334,1.26753,199.0,3,2021-11-08 05:10:56,9172301
353824000,5,0,0.1,103.78334,1.26745,182.0,3,2021-11-08 05:11:25,9172301
353824000,5,0,0.0,103.78343,1.26747,187.0,3,2021-11-08 05:12:15,9172301
353824000,5,0,0.1,103.78337,1.26736,172.0,3,2021-11-08 05:13:56,9172301
353824000,5,0,0.1,103.78342,1.26748,174.0,3,2021-11-08 05:15:16,9172301
353824000,5,0,0.1,103.78355,1.2673,185.0,3,2021-11-08 05:15:46,9172301
353824000,5,0,0.0,103.78352,1.26743,202.0,3,2021-11-08 05:16:16,9172301
353824000,5,0,0.1,103.78339,1.26744,61.9,3,2021-11-08 05:20:17,9172301
353824000,5,0,0.0,103.78345,1.26748,62.6,3,2021-11-08 05:22:17,9172301
353824000,5,0,0.0,103.78338,1.26752,51.3,3,2021-11-08 05:22:45,9172301
353824000,5,0,0.1,103.78333,1.26747,40.5,3,2021-11-08 05:23:17,9172301
353824000,5,0,0.1,103.78333,1.26747,3.0,3,2021-11-08 05:24:06,9172301
353824000,5,0,0.0,103.78333,1.26751,7.3,3,2021-11-08 05:24:55,9172301
353824000,5,0,0.1,103.78337,1.26736,359.0,3,2021-11-08 05:26:55,9172301
353824000,5,0,0.1,103.78333,1.26737,6.1,3,2021-11-08 05:28:17,9172301
353824000,5,0,0.1,103.78338,1.26743,354.0,3,2021-11-08 05:29:17,9172301
353824000,5,0,0.1,103.7834,1.26739,337.0,3,2021-11-08 05:29:47,9172301
353824000,5,0,0.1,103.78345,1.26738,336.0,3,2021-11-08 05:30:17,9172301
353824000,5,0,0.0,103.78341,1.26737,343.0,3,2021-11-08 05:30:47,9172301
353824000,5,0,0.6,103.78341,1.26733,310.0,3,2021-11-08 05:31:17,9172301
353824000,5,0,0.8,103.78319,1.26743,278.0,3,2021-11-08 05:32:06,9172301
353824000,0,0,1.4,103.78251,1.2677,282.6,42,2021-11-08 05:34:06,9172301
353824000,0,127,1.7,103.78211,1.26773,275.3,54,2021-11-08 05:34:56,9172301
353824000,0,127,2.5,103.78092,1.26847,333.0,124,2021-11-08 05:37:16,9172301
353824000,0,127,2.2,103.78082,1.26875,351.9,141,2021-11-08 05:37:42,9172301
353824000,0,127,0.6,103.78119,1.26929,80.9,199,2021-11-08 05:39:20,9172301
353824000,0,0,0.8,103.78117,1.26923,197.8,204,2021-11-08 05:40:06,9172301
353824000,0,0,4.3,103.78021,1.26731,209.6,210,2021-11-08 05:43:16,9172301
353824000,0,0,6.0,103.77802,1.2635,209.2,210,2021-11-08 05:46:06,9172301
353824000,0,-127,8.8,103.77532,1.25803,196.4,189,2021-11-08 05:49:06,9172301
353824000,0,0,10.2,103.77535,1.2528,173.5,175,2021-11-08 05:51:06,9172301
353824000,0,0,11.9,103.78349,1.23264,151.0,152,2021-11-08 05:58:28,9172301
353824000,0,-127,12.0,103.78655,1.22677,153.2,151,2021-11-08 06:00:05,9172301
353824000,0,0,11.8,103.78898,1.22318,140.4,139,2021-11-08 06:01:48,9172301
353824000,0,0,12.1,103.79285,1.21921,134.4,138,2021-11-08 06:03:05,9172301
353824000,0,127,5.9,103.81736,1.20207,120.8,152,2021-11-08 06:13:56,9172301
353824000,0,0,3.7,103.81785,1.20168,131.4,156,2021-11-08 06:14:19,9172301
353824000,0,0,5.8,103.81954,1.19985,136.1,150,2021-11-08 06:15:56,9172301
353824000,0,0,8.4,103.8225,1.19693,135.3,145,2021-11-08 06:18:28,9172301
353824000,0,127,9.0,103.80011,1.21972,311.8,310,2021-11-19 04:32:11,9172301
353824000,0,0,5.5,103.78055,1.2509,336.5,324,2021-11-19 04:50:54,9172301
353824000,5,0,0.1,103.78048,1.26266,190.6,31,2021-11-19 10:27:08,9172301
353824000,0,0,0.1,103.7805,1.26266,177.2,31,2021-11-20 02:12:24,9172301
