Label,SOG,LON,LAT,length,angle_COG,time_difference,velocity(m/s),count,N1_Area,V_Area
2,0,103.76272,1.2891,10.08557223,0,19,0.530819591,8,0.00000185,3.71875
2,0,103.76272,1.28908,6.670569928,0,20,0.333528496,7,0.00000158,3.71875
2,0,103.76268,1.28908,8.894468461,0,32,0.277952139,6,0.00000149,2.788574219
2,0,103.7627,1.28915,10.49139389,0,21,0.499590185,24,0.00000246,4.958007813
2,0,103.76273,1.2892,5.368567972,0,20,0.268428399,15,0.00000205,3.71875
2,0,103.76273,1.28922,13.39882236,0,30,0.446627412,7,0.00000135,2.7890625
2,0,103.76265,1.28905,31.4889859,0,80,0.393612324,3,0.00000369,9.5546875
2,0,103.76258,1.28913,22.99103713,0,60,0.383183952,1,0.00000123,2.7890625
2,0,103.76267,1.28923,21.47427189,0,40,0.536856797,2,0.00000158,3.254394531
2,0,103.7628,1.28908,30.16528969,78,60,0.502754828,3,0.00000197,3.71875
2,0,103.76292,1.28905,19.73750042,0,29,0.680603463,3,0.0000032,6.042480469
2,0,103.76287,1.28907,20.22442477,0,20,1.011221239,1,0.00000123,2.7890625
2,0,103.76265,1.28925,23.58502069,21,19,1.241316879,3,0.00000287,5.88671875
2,0,103.76267,1.2892,9.818363758,0,21,0.467541131,6,0.00000197,3.717773438
2,0,103.76267,1.28917,9.005643618,0,31,0.290504633,5,0.00000133,2.788574219
2,0,103.76267,1.28913,16.54497792,0,49,0.337652611,10,0.00000135,2.7890625
2,0,103.76273,1.28908,13.2668965,0,60,0.221114942,4,0.00000138,2.788574219
2,0,103.76277,1.28907,11.70283837,0,71,0.164828709,6,0.00000123,2.7890625
2,0,103.76282,1.28915,14.07994208,0,30,0.469331403,11,0.00000185,3.71875
2,0,103.76282,1.28908,12.70841579,0,30,0.42361386,3,0.00000123,2.7890625
2,0,103.7627,1.28908,12.83421033,0,60,0.213903506,2,0.00000185,3.71875
2,0,103.76275,1.28922,14.90086131,0,40,0.372521533,16,0.00000185,3.71875
2,0,103.76268,1.28913,22.92850637,0,40,0.573212659,9,0.00000123,2.788574219
2,0,103.7627,1.28922,15.81078332,0,20,0.790539166,7,0.00000197,3.71875
2,0,103.76267,1.28918,12.32129729,0,20,0.616064865,6,0.00000123,2.7890625
2,0,103.76275,1.28907,11.39256776,0,29,0.392847164,4,0.00000205,3.71875
2,0,103.76273,1.28907,4.709604016,0,20,0.235480201,4,0.00000176,3.718261719
2,0,103.76272,1.28905,11.9864706,0,31,0.386660342,3,0.00000246,4.6484375
2,0,103.76277,1.28908,9.41845287,0,51,0.184675546,10,0.00000138,2.7890625
2,0,103.76275,1.28908,11.11757905,0,30,0.370585968,4,0.00000185,3.71875
2,0,103.76265,1.28908,8.893342791,0,21,0.423492514,3,0.00000334,7.953613281
2,0,103.76262,1.28908,11.35197883,0,51,0.22258782,1,0.00000169,4.646972656
2,0,103.76277,1.28925,11.54615988,0,20,0.577307994,1,0.00000197,4.260742188
2,0,103.76272,1.28925,13.34198374,0,21,0.635332559,2,0.00000177,3.099121094
2,0,103.7628,1.28913,7.196435118,0,50,0.143928702,15,0.00000172,3.71875
2,0,103.76278,1.28922,11.11949266,0,21,0.529499651,3,0.00000381,7.002929688
2,0,103.76278,1.28925,10.45509379,0,30,0.348503126,1,0.00000246,8.909667969
2,0,103.76283,1.28917,5.740101861,0,19,0.302110624,2,0.00000138,4.183105469
2,0,103.76283,1.28915,4.447797066,0,21,0.21179986,3,0.00000176,3.718261719
2,0,103.76272,1.28915,10.36683046,0,29,0.357476913,39,0.00000193,3.71875
2,0,103.76283,1.28923,15.91452556,0,21,0.75783455,1,0.00000461,9.404785156
2,0,103.76283,1.2892,6.480517227,0,20,0.324025861,3,0.00000172,3.718261719
2,0,103.76285,1.28922,5.368005004,0,20,0.26840025,3,0.00000205,5.578125
2,0,103.76283,1.28922,3.795670284,0,19,0.19977212,1,0.00000193,3.905273438
2,0,103.76273,1.28923,21.12450272,0,31,0.681435571,1,0.00000158,3.719238281
2,0,103.76273,1.28933,17.88316972,0,20,0.894158486,2,0.00000271,42.078125
2,0,103.76272,1.28927,17.93860088,0,29,0.618572444,2,0.00000113,2.594726563
2,0,103.76287,1.28923,19.23017422,0,19,1.012114433,1,0.00000185,3.718261719
2,0.1,103.76278,1.2892,25.37816199,-160,20,1.268908099,17,0.00000164,3.71875
2,0,103.76263,1.28925,9.342581543,0,20,0.467129077,1,0.00000205,6.817382813
2,0,103.76265,1.28922,5.368005002,0,21,0.255619286,2,0.00000246,5.576171875
2,0,103.76263,1.28922,8.512674441,0,21,0.40536545,1,0.00000144,2.788574219
2,0,103.76263,1.28913,8.231195337,0,30,0.274373178,2,0.00000138,2.789550781
2,0,103.76263,1.28912,9.129705036,0,29,0.314817415,4,0.00000123,2.7890625
2,0,103.76268,1.28922,12.36826088,0,50,0.247365218,4,0.00000141,2.7890625
2,0,103.76268,1.28915,10.0075434,0,49,0.20423558,12,0.00000185,3.717773438
2,0,103.76268,1.28917,3.335847799,0,21,0.158849895,13,0.00000123,2.7890625
2,0,103.7627,1.28917,6.780420315,0,29,0.233807597,31,0.00000185,3.718261719
